Group,Line,Insertion.site,Cross.date,Larvae.or.adult.cold.tolerance,Egg.laying.day,Vial,N,PSurvival,DeltaP,Stage,alive,dead
attP2-control,control,attP2,May,Larvae,3,1,20,0.4,0,Larvae,8,12
attP2-control,control,attP2,May,Larvae,4,3,20,0.45,0.05,Larvae,9,11
attP2-control,control,attP2,May,Larvae,5,5,20,0.35,-0.05,Larvae,7,13
attP2-klu,klu,attP2,May,Larvae,2,2,20,0.4,0,Larvae,8,12
attP2-klu,klu,attP2,May,Larvae,3,4,20,0.25,-0.15,Larvae,5,15
attP2-klu,klu,attP2,May,Larvae,4,6,20,0.25,-0.15,Larvae,5,15
attP2-CG10505,CG10505,attP2,June,Larvae,2,8,20,0.5,0.082,Larvae,10,10
attP2-CG10505,CG10505,attP2,June,Larvae,3,10,20,0.45,0.032,Larvae,9,11
attP2-CG10505,CG10505,attP2,June,Larvae,4,12,20,0.5,0.082,Larvae,10,10
attP2-CG10505,CG10505,attP2,June,Larvae,5,14,20,0.15,-0.268,Larvae,3,17
attP2-control,control,attP2,June,Larvae,2,7,20,0.35,-0.068,Larvae,7,13
attP2-control,control,attP2,June,Larvae,3,9,20,0.3,-0.118,Larvae,6,14
attP2-control,control,attP2,June,Larvae,4,11,20,0.55,0.132,Larvae,11,9
attP2-control,control,attP2,June,Larvae,5,13,19,0.473684211,0.055684211,Larvae,9,10
attP2-CG10505,CG10505,attP2,July,Larvae,4,19,20,0.25,-0.062,Larvae,5,15
attP2-control,control,attP2,July,Larvae,1,15,19,0.157894737,-0.154105263,Larvae,3,16
attP2-control,control,attP2,July,Larvae,2,18,20,0.45,0.138,Larvae,9,11
attP2-control,control,attP2,July,Larvae,3,22,20,0.2,-0.112,Larvae,4,16
attP2-control,control,attP2,July,Larvae,4,23,20,0.5,0.188,Larvae,10,10
attP2-control,control,attP2,July,Larvae,5,24,20,0.25,-0.062,Larvae,5,15
attP2-klu,klu,attP2,July,Larvae,4,16,20,0.15,-0.162,Larvae,3,17
attP2-klu,klu,attP2,July,Larvae,5,20,20,0.25,-0.062,Larvae,5,15
attP2-NtR,NtR,attP2,July,Larvae,3,17,20,0.05,-0.262,Larvae,1,19
attP2-NtR,NtR,attP2,July,Larvae,4,21,20,0.3,-0.012,Larvae,6,14
attP2-control,control,attP2,Feb,Larvae,2,25,20,0.6,-0.05,Larvae,12,8
attP2-pigs,pigs,attP2,Feb,Larvae,2,26,19,0.684210526,0.034210526,Larvae,13,6
attP2-klu,klu,attP2,Feb,Larvae,2,27,20,0.6,-0.05,Larvae,12,8
attP2-CG10505,CG10505,attP2,Feb,Larvae,2,28,20,0.5,-0.15,Larvae,10,10
attP2-NtR,NtR,attP2,Feb,Larvae,2,29,20,0.45,-0.2,Larvae,9,11
attP2-control,control,attP2,Feb,Larvae,3,30,20,0.6,-0.05,Larvae,12,8
attP2-pigs,pigs,attP2,Feb,Larvae,3,31,20,0.6,-0.05,Larvae,12,8
attP2-klu,klu,attP2,Feb,Larvae,3,32,20,0.75,0.1,Larvae,15,5
attP2-CG10505,CG10505,attP2,Feb,Larvae,3,33,20,0.75,0.1,Larvae,15,5
attP2-NtR,NtR,attP2,Feb,Larvae,3,34,20,0.75,0.1,Larvae,15,5
attP2-control,control,attP2,Feb,Larvae,4,35,20,0.8,0.15,Larvae,16,4
attP2-pigs,pigs,attP2,Feb,Larvae,4,36,20,0.5,-0.15,Larvae,10,10
attP2-klu,klu,attP2,Feb,Larvae,4,37,20,0.65,0,Larvae,13,7
attP2-CG10505,CG10505,attP2,Feb,Larvae,4,38,20,0.6,-0.05,Larvae,12,8
attP2-NtR,NtR,attP2,Feb,Larvae,4,39,20,0.8,0.15,Larvae,16,4
attP2-control,control,attP2,Feb,Larvae,5,40,20,0.6,-0.05,Larvae,12,8
attP2-pigs,pigs,attP2,Feb,Larvae,5,41,19,0.473684211,-0.176315789,Larvae,9,10
attP2-klu,klu,attP2,Feb,Larvae,5,42,20,0.55,-0.1,Larvae,11,9
attP2-CG10505,CG10505,attP2,Feb,Larvae,5,43,20,0.8,0.15,Larvae,16,4
attP2-NtR,NtR,attP2,Feb,Larvae,5,44,20,0.45,-0.2,Larvae,9,11
attP40-CG32533,CG32533,attP40,May,Larvae,2,46,20,0.4,0.027,Larvae,8,12
attP40-CG32533,CG32533,attP40,May,Larvae,3,50,20,0.25,-0.123,Larvae,5,15
attP40-CG32533,CG32533,attP40,May,Larvae,4,54,20,0.6,0.227,Larvae,12,8
attP40-CG32533,CG32533,attP40,May,Larvae,5,57,20,0.25,-0.123,Larvae,5,15
attP40-control,control,attP40,May,Larvae,3,45,19,0.368421053,-0.004578947,Larvae,7,12
attP40-control,control,attP40,May,Larvae,4,49,20,0.25,-0.123,Larvae,5,15
attP40-control,control,attP40,May,Larvae,5,53,20,0.5,0.127,Larvae,10,10
attP40-Ir85a,Ir85a,attP40,May,Larvae,2,47,20,0.5,0.127,Larvae,10,10
attP40-Ir85a,Ir85a,attP40,May,Larvae,3,51,20,0.25,-0.123,Larvae,5,15
attP40-Ir85a,Ir85a,attP40,May,Larvae,4,55,20,0.55,0.177,Larvae,11,9
attP40-Ir85a,Ir85a,attP40,May,Larvae,5,58,19,0.315789474,-0.057210526,Larvae,6,13
attP40-psh,psh,attP40,May,Larvae,1,48,20,0.4,0.027,Larvae,8,12
attP40-psh,psh,attP40,May,Larvae,3,52,20,0.9,0.527,Larvae,18,2
attP40-psh,psh,attP40,May,Larvae,4,56,20,0.5,0.127,Larvae,10,10
attP40-psh,psh,attP40,May,Larvae,5,59,20,0.45,0.077,Larvae,9,11
attP40-Clk,Clk,attP40,June,Larvae,3,61,19,0.263157895,-0.288842105,Larvae,5,14
attP40-Clk,Clk,attP40,June,Larvae,4,64,20,0.55,-0.002,Larvae,11,9
attP40-Clk,Clk,attP40,June,Larvae,5,67,20,0.55,-0.002,Larvae,11,9
attP40-control,control,attP40,June,Larvae,1,60,19,0.526315789,-0.025684211,Larvae,10,9
attP40-control,control,attP40,June,Larvae,2,63,20,0.7,0.148,Larvae,14,6
attP40-control,control,attP40,June,Larvae,3,66,19,0.684210526,0.132210526,Larvae,13,6
attP40-control,control,attP40,June,Larvae,4,69,20,0.3,-0.252,Larvae,6,14
attP40-control,control,attP40,June,Larvae,5,71,20,0.55,-0.002,Larvae,11,9
attP40-psh,psh,attP40,June,Larvae,2,62,20,0.3,-0.252,Larvae,6,14
attP40-psh,psh,attP40,June,Larvae,3,65,18,0.388888889,-0.163111111,Larvae,7,11
attP40-psh,psh,attP40,June,Larvae,4,68,20,0.35,-0.202,Larvae,7,13
attP40-psh,psh,attP40,June,Larvae,5,70,20,0.4,-0.152,Larvae,8,12
attP40-CG32533,CG32533,attP40,July,Larvae,4,73,20,0.1,-0.463,Larvae,2,18
attP40-CG32533,CG32533,attP40,July,Larvae,5,79,20,0.5,-0.063,Larvae,10,10
attP40-Clk,Clk,attP40,July,Larvae,5,74,20,0.3,-0.263,Larvae,6,14
attP40-Clk,Clk,attP40,July,Larvae,5,80,20,0.15,-0.413,Larvae,3,17
attP40-Clk,Clk,attP40,July,Larvae,5,85,20,0.35,-0.213,Larvae,7,13
attP40-control,control,attP40,July,Larvae,2,72,20,0.65,0.087,Larvae,13,7
attP40-control,control,attP40,July,Larvae,3,78,20,0.85,0.287,Larvae,17,3
attP40-control,control,attP40,July,Larvae,4,84,20,0.35,-0.213,Larvae,7,13
attP40-control,control,attP40,July,Larvae,5,89,20,0.4,-0.163,Larvae,8,12
attP40-Ir85a,Ir85a,attP40,July,Larvae,2,75,20,0.35,-0.213,Larvae,7,13
attP40-Ir85a,Ir85a,attP40,July,Larvae,3,81,18,0.222222222,-0.340777778,Larvae,4,14
attP40-Ir85a,Ir85a,attP40,July,Larvae,4,86,20,0.25,-0.313,Larvae,5,15
attP40-Ir85a,Ir85a,attP40,July,Larvae,5,90,18,0,-0.563,Larvae,0,18
attP40-mthl15,mthl15,attP40,July,Larvae,2,76,20,0.15,-0.413,Larvae,3,17
attP40-mthl15,mthl15,attP40,July,Larvae,3,82,20,0.2,-0.363,Larvae,4,16
attP40-mthl15,mthl15,attP40,July,Larvae,4,87,20,0.25,-0.313,Larvae,5,15
attP40-psh,psh,attP40,July,Larvae,3,77,19,0.421052632,-0.141947368,Larvae,8,11
attP40-psh,psh,attP40,July,Larvae,4,83,20,0.35,-0.213,Larvae,7,13
attP40-psh,psh,attP40,July,Larvae,5,88,20,0.45,-0.113,Larvae,9,11
attP40-control,control,attP40,Feb,Larvae,2,91,20,0.75,-0.013,Larvae,15,5
attP40-psh,psh,attP40,Feb,Larvae,2,92,20,0.75,-0.013,Larvae,15,5
attP40-Clk,Clk,attP40,Feb,Larvae,2,93,20,0.6,-0.163,Larvae,12,8
attP40-control,control,attP40,Feb,Larvae,3,94,20,0.5,-0.263,Larvae,10,10
attP40-psh,psh,attP40,Feb,Larvae,3,95,20,0.6,-0.163,Larvae,12,8
attP40-Clk,Clk,attP40,Feb,Larvae,3,96,20,1,0.237,Larvae,20,0
attP40-control,control,attP40,Feb,Larvae,4,97,20,0.95,0.187,Larvae,19,1
attP40-CG32533,CG32533,attP40,Feb,Larvae,4,98,17,0.294117647,-0.468882353,Larvae,5,12
attP40-psh,psh,attP40,Feb,Larvae,4,99,20,0.8,0.037,Larvae,16,4
attP40-mthl15,mthl15,attP40,Feb,Larvae,4,100,17,0.470588235,-0.292411765,Larvae,8,9
attP40-Clk,Clk,attP40,Feb,Larvae,4,101,20,1,0.237,Larvae,20,0
attP40-control,control,attP40,Feb,Larvae,5,102,20,0.85,0.087,Larvae,17,3
attP40-psh,psh,attP40,Feb,Larvae,5,103,20,0.6,-0.163,Larvae,12,8
attP40-mthl15,mthl15,attP40,Feb,Larvae,5,104,21,0.666666667,-0.096333333,Larvae,14,7
attP40-Clk,Clk,attP40,Feb,Larvae,5,105,20,0.8,0.037,Larvae,16,4
attP2-CG10505,CG10505,attP2,May,Adult,2,107,10,0,-0.125,Female,0,10
attP2-control,control,attP2,May,Adult,2,106,8,0.125,0,Female,1,7
attP2-CG10505,CG10505,attP2,June,Adult,3,110,10,0.3,-0.225,Female,3,7
attP2-control,control,attP2,June,Adult,3,108,10,0.5,-0.025,Female,5,5
attP2-control,control,attP2,June,Adult,3,109,10,0.4,-0.125,Female,4,6
attP2-control,control,attP2,June,Adult,4,116,10,0.5,-0.025,Female,5,5
attP2-control,control,attP2,June,Adult,4,117,10,0.7,0.175,Female,7,3
attP2-klu,klu,attP2,June,Adult,3,111,10,0.9,0.375,Female,9,1
attP2-klu,klu,attP2,June,Adult,4,118,9,0.777777778,0.252777778,Female,7,2
attP2-klu,klu,attP2,June,Adult,4,119,10,0.5,-0.025,Female,5,5
attP2-klu,klu,attP2,June,Adult,4,120,10,0.7,0.175,Female,7,3
attP2-NtR,NtR,attP2,June,Adult,3,112,10,0.6,0.075,Female,6,4
attP2-NtR,NtR,attP2,June,Adult,3,113,9,0.555555556,0.030555556,Female,5,4
attP2-NtR,NtR,attP2,June,Adult,4,121,10,0.5,-0.025,Female,5,5
attP2-pigs,pigs,attP2,June,Adult,3,114,10,0.5,-0.025,Female,5,5
attP2-pigs,pigs,attP2,June,Adult,3,115,11,0.272727273,-0.252272727,Female,3,8
attP2-pigs,pigs,attP2,June,Adult,3,122,10,0.4,-0.125,Female,4,6
attP2-pigs,pigs,attP2,June,Adult,4,123,10,0.4,-0.125,Female,4,6
attP2-pigs,pigs,attP2,June,Adult,4,124,9,0.666666667,0.141666667,Female,6,3
attP2-control,control,attP2,Jan,Adult,4,125,11,0.272727273,-0.000272727,Female,3,8
attP2-klu,klu,attP2,Jan,Adult,4,126,11,0.909090909,0.636090909,Female,10,1
attP2-control,control,attP2,Feb,Adult,3,127,11,0.727272727,0.027272727,Female,8,3
attP2-pigs,pigs,attP2,Feb,Adult,3,128,10,0.3,-0.4,Female,3,7
attP2-klu,klu,attP2,Feb,Adult,3,129,10,0.6,-0.1,Female,6,4
attP2-CG10505,CG10505,attP2,Feb,Adult,3,130,10,0.3,-0.4,Female,3,7
attP2-control,control,attP2,Feb,Adult,4,131,9,0.666666667,-0.033333333,Female,6,3
attP2-pigs,pigs,attP2,Feb,Adult,4,132,10,0.5,-0.2,Female,5,5
attP2-klu,klu,attP2,Feb,Adult,4,133,11,0.909090909,0.209090909,Female,10,1
attP2-klu,klu,attP2,Feb,Adult,4,134,8,0.625,-0.075,Female,5,3
attP2-NtR,NtR,attP2,Feb,Adult,4,135,8,0.875,0.175,Female,7,1
attP2-CG10505,CG10505,attP2,Feb,Adult,4,136,9,0.222222222,-0.477777778,Female,2,7
attP40-CG32533,CG32533,attP40,May,Adult,2,138,10,0.1,-0.233,Female,1,9
attP40-CG32533,CG32533,attP40,May,Adult,2,139,10,0.3,-0.033,Female,3,7
attP40-CG32533,CG32533,attP40,May,Adult,3,141,9,0.444444444,0.111444444,Female,4,5
attP40-CG32533,CG32533,attP40,May,Adult,4,146,9,0.666666667,0.333666667,Female,6,3
attP40-Clk,Clk,attP40,May,Adult,2,140,10,0,-0.333,Female,0,10
attP40-Clk,Clk,attP40,May,Adult,3,142,10,0,-0.333,Female,0,10
attP40-Clk,Clk,attP40,May,Adult,4,144,9,0,-0.333,Female,0,9
attP40-Clk,Clk,attP40,May,Adult,4,145,10,0,-0.333,Female,0,10
attP40-control,control,attP40,May,Adult,2,137,10,0.2,-0.133,Female,2,8
attP40-control,control,attP40,May,Adult,4,147,10,0.3,-0.033,Female,3,7
attP40-control,control,attP40,May,Adult,4,148,10,0.5,0.167,Female,5,5
attP40-Ir85a,Ir85a,attP40,May,Adult,3,143,9,0.111111111,-0.221888889,Female,1,8
attP40-Ir85a,Ir85a,attP40,May,Adult,4,149,10,0,-0.333,Female,0,10
attP40-Ir85a,Ir85a,attP40,May,Adult,4,150,10,0.5,0.167,Female,5,5
attP40-control,control,attP40,June,Adult,3,151,9,0.7,0,Female,6,3
attP40-Ir85a,Ir85a,attP40,June,Adult,2,152,8,0.625,-0.075,Female,5,3
attP40-Ir85a,Ir85a,attP40,June,Adult,3,153,10,0.7,0,Female,7,3
attP40-mthl15,mthl15,attP40,June,Adult,3,154,10,0.4,-0.3,Female,4,6
attP40-mthl15,mthl15,attP40,June,Adult,3,155,9,0.555555556,-0.144444444,Female,5,4
attP40-mthl15,mthl15,attP40,June,Adult,3,156,10,0.4,-0.3,Female,4,6
attP40-mthl15,mthl15,attP40,June,Adult,4,158,10,0.2,-0.5,Female,2,8
attP40-psh,psh,attP40,June,Adult,3,157,9,0.777777778,0.077777778,Female,7,2
attP40-psh,psh,attP40,June,Adult,4,159,10,0.8,0.1,Female,8,2
attP40-psh,psh,attP40,June,Adult,4,160,10,0.5,-0.2,Female,5,5
attP40-CG32533,CG32533,attP40,July,Adult,5,171,9,0.222222222,-0.080777778,Female,2,7
attP40-CG32533,CG32533,attP40,July,Adult,6,172,8,0.875,0.572,Female,7,1
attP40-CG32533,CG32533,attP40,July,Adult,6,173,10,0.6,0.297,Female,6,4
attP40-Clk,Clk,attP40,July,Adult,4,164,8,0,-0.303,Female,0,8
attP40-Clk,Clk,attP40,July,Adult,5,174,10,0.1,-0.203,Female,1,9
attP40-Clk,Clk,attP40,July,Adult,5,175,10,0.3,-0.003,Female,3,7
attP40-Clk,Clk,attP40,July,Adult,6,176,9,0.222222222,-0.080777778,Female,2,7
attP40-control,control,attP40,July,Adult,3,161,8,0.125,-0.178,Female,1,7
attP40-control,control,attP40,July,Adult,4,162,9,0.111111111,-0.191888889,Female,1,8
attP40-control,control,attP40,July,Adult,4,163,9,0.333333333,0.030333333,Female,3,6
attP40-control,control,attP40,July,Adult,5,169,10,0.5,0.197,Female,5,5
attP40-control,control,attP40,July,Adult,5,170,9,0.444444444,0.141444444,Female,4,5
attP40-Ir85a,Ir85a,attP40,July,Adult,4,165,10,0,-0.303,Female,0,10
attP40-Ir85a,Ir85a,attP40,July,Adult,4,166,10,0.2,-0.103,Female,2,8
attP40-Ir85a,Ir85a,attP40,July,Adult,5,177,10,0.1,-0.203,Female,1,9
attP40-Ir85a,Ir85a,attP40,July,Adult,6,178,9,0,-0.303,Female,0,9
